                  trigger_name                   | event_manipulation |       event_object_table       |                       action_statement                       
 trg_auto_company_customer_groups                | INSERT             | customer_groups                | EXECUTE FUNCTION auto_set_company_id()
 trg_brand_isolation_customer_groups             | UPDATE             | customer_groups                | EXECUTE FUNCTION enforce_brand_isolation()
 trg_brand_isolation_customer_groups             | INSERT             | customer_groups                | EXECUTE FUNCTION enforce_brand_isolation()
 trg_brand_isolation_customers                   | INSERT             | customers                      | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_company_customers                      | INSERT             | customers                      | EXECUTE FUNCTION auto_set_company_id()
 trg_update_timestamp_customers                  | UPDATE             | customers                      | EXECUTE FUNCTION update_updated_at()
 trg_brand_isolation_customers                   | UPDATE             | customers                      | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_tenant_customers                       | INSERT             | customers                      | EXECUTE FUNCTION auto_set_tenant_id()
 trg_delivery_notes_updated_at                   | UPDATE             | delivery_notes                 | EXECUTE FUNCTION update_delivery_notes_timestamp()
 trg_dar_updated                                 | UPDATE             | document_approval_requests     | EXECUTE FUNCTION trg_set_updated_at()
 trg_brand_isolation_fabric_rolls                | UPDATE             | fabric_rolls                   | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_company_fabric_rolls                   | INSERT             | fabric_rolls                   | EXECUTE FUNCTION auto_set_company_id()
 trg_auto_tenant_fabric_rolls                    | INSERT             | fabric_rolls                   | EXECUTE FUNCTION auto_set_tenant_id()
 trg_brand_isolation_fabric_rolls                | INSERT             | fabric_rolls                   | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_company_fiscal_years                   | INSERT             | fiscal_years                   | EXECUTE FUNCTION auto_set_company_id()
 trg_brand_isolation_fiscal_years                | UPDATE             | fiscal_years                   | EXECUTE FUNCTION enforce_brand_isolation()
 trg_brand_isolation_fiscal_years                | INSERT             | fiscal_years                   | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_tenant_fiscal_years                    | INSERT             | fiscal_years                   | EXECUTE FUNCTION auto_set_tenant_id()
 trigger_set_tenant_funds                        | INSERT             | funds                          | EXECUTE FUNCTION set_tenant_from_company()
 trigger_set_tenant_funds                        | UPDATE             | funds                          | EXECUTE FUNCTION set_tenant_from_company()
 trigger_set_tenant_gold_items                   | UPDATE             | gold_items                     | EXECUTE FUNCTION set_tenant_from_company()
 trg_gold_item_value                             | UPDATE             | gold_items                     | EXECUTE FUNCTION update_gold_item_value()
 trigger_set_tenant_gold_items                   | INSERT             | gold_items                     | EXECUTE FUNCTION set_tenant_from_company()
 trg_gold_item_value                             | INSERT             | gold_items                     | EXECUTE FUNCTION update_gold_item_value()
 trigger_set_tenant_gold_prices                  | INSERT             | gold_prices                    | EXECUTE FUNCTION set_tenant_from_company()
 trigger_set_tenant_gold_prices                  | UPDATE             | gold_prices                    | EXECUTE FUNCTION set_tenant_from_company()
 trg_update_inventory_stock                      | INSERT             | inventory_movements            | EXECUTE FUNCTION update_inventory_stock()
 trg_brand_isolation_inventory_movements         | UPDATE             | inventory_movements            | EXECUTE FUNCTION enforce_brand_isolation()
 trg_brand_isolation_inventory_movements         | INSERT             | inventory_movements            | EXECUTE FUNCTION enforce_brand_isolation()
