                  trigger_name                   | event_manipulation |       event_object_table       |                       action_statement                       
 protect_user_profiles_sensitive                 | UPDATE             | user_profiles                  | EXECUTE FUNCTION protect_sensitive_user_fields()
 trg_update_timestamp_user_profiles              | UPDATE             | user_profiles                  | EXECUTE FUNCTION update_updated_at()
 protect_user_profile_trigger                    | UPDATE             | user_profiles                  | EXECUTE FUNCTION protect_user_profile_fields()
 protect_role_assignments_trigger                | DELETE             | user_role_assignments          | EXECUTE FUNCTION protect_role_assignments()
 protect_role_assignments_trigger                | UPDATE             | user_role_assignments          | EXECUTE FUNCTION protect_role_assignments()
 protect_role_assignments_trigger                | INSERT             | user_role_assignments          | EXECUTE FUNCTION protect_role_assignments()
 trg_audit_user_roles                            | UPDATE             | user_roles                     | EXECUTE FUNCTION log_sensitive_changes()
 trg_protect_user_roles                          | UPDATE             | user_roles                     | EXECUTE FUNCTION protect_user_roles()
 trg_audit_user_roles                            | DELETE             | user_roles                     | EXECUTE FUNCTION log_sensitive_changes()
 trg_audit_user_roles                            | INSERT             | user_roles                     | EXECUTE FUNCTION log_sensitive_changes()
 trg_protect_user_roles                          | INSERT             | user_roles                     | EXECUTE FUNCTION protect_user_roles()
 trg_warehouse_settings_updated_at               | UPDATE             | warehouse_settings             | EXECUTE FUNCTION update_warehouse_settings_timestamp()
 trg_auto_company_warehouses                     | INSERT             | warehouses                     | EXECUTE FUNCTION auto_set_company_id()
 trg_auto_tenant_warehouses                      | INSERT             | warehouses                     | EXECUTE FUNCTION auto_set_tenant_id()
 trg_brand_isolation_warehouses                  | UPDATE             | warehouses                     | EXECUTE FUNCTION enforce_brand_isolation()
 trg_brand_isolation_warehouses                  | INSERT             | warehouses                     | EXECUTE FUNCTION enforce_brand_isolation()
 trg_white_label_configs_updated_at              | UPDATE             | white_label_configs            | EXECUTE FUNCTION update_white_label_configs_updated_at()
 trg_white_label_domains_updated_at              | UPDATE             | white_label_domains            | EXECUTE FUNCTION update_white_label_domains_updated_at()
(269 rows)

