type,from_table,from_col,to_table,to_col,constraint_name
FK,account_invoice_items,sub_account_id,chart_of_accounts,id,account_invoice_items_sub_account_id_fkey
FK,account_invoice_items,invoice_id,account_invoices,id,account_invoice_items_invoice_id_fkey
FK,account_invoices,company_id,companies,id,account_invoices_company_id_fkey
FK,account_invoices,tenant_id,tenants,id,account_invoices_tenant_id_fkey
FK,account_invoices,account_id,chart_of_accounts,id,account_invoices_account_id_fkey
FK,account_invoices,branch_id,branches,id,account_invoices_branch_id_fkey
FK,account_invoices,journal_entry_id,journal_entries,id,account_invoices_journal_entry_id_fkey
FK,account_transfers,company_id,companies,id,account_transfers_company_id_fkey
FK,account_transfers,journal_entry_id,journal_entries,id,account_transfers_journal_entry_id_fkey
FK,account_transfers,target_account_id,chart_of_accounts,id,account_transfers_target_account_id_fkey
FK,account_transfers,source_account_id,chart_of_accounts,id,account_transfers_source_account_id_fkey
FK,account_transfers,tenant_id,tenants,id,account_transfers_tenant_id_fkey
FK,accounting_periods,fiscal_year_id,fiscal_years,id,accounting_periods_fiscal_year_id_fkey
FK,accounting_periods,company_id,companies,id,fk_accounting_periods_company_id
FK,accounts,parent_id,accounts,id,accounts_parent_id_fkey
FK,accounts,tenant_id,tenants,id,accounts_tenant_id_fkey
FK,accounts,company_id,companies,id,accounts_company_id_fkey
FK,agent_commission_rules,agent_id,agents,id,agent_commission_rules_agent_id_fkey
FK,agent_commission_rules,rule_id,commission_rules,id,agent_commission_rules_rule_id_fkey
FK,agent_commissions,tenant_id,tenants,id,agent_commissions_tenant_id_fkey
FK,agent_commissions,agent_id,agents,id,agent_commissions_agent_id_fkey
FK,agent_events,agent_id,agents,id,agent_events_agent_id_fkey
FK,agent_messages,agent_id,agents,id,agent_messages_agent_id_fkey
FK,agent_messages,reply_to_id,agent_messages,id,agent_messages_reply_to_id_fkey
FK,agent_targets,agent_id,agents,id,agent_targets_agent_id_fkey
FK,agent_withdrawals,agent_id,agents,id,agent_withdrawals_agent_id_fkey
FK,agents,company_id,companies,id,agents_company_id_fkey
FK,agents,account_id,accounts,id,agents_account_id_fkey
FK,announcements,tenant_id,tenants,id,announcements_tenant_id_fkey
FK,audit_logs,tenant_id,tenants,id,audit_logs_tenant_id_fkey
FK,bank_account_limits,tenant_id,tenants,id,bank_account_limits_tenant_id_fkey
FK,bank_account_limits,account_id,chart_of_accounts,id,bank_account_limits_account_id_fkey
FK,bank_account_limits,company_id,companies,id,bank_account_limits_company_id_fkey
FK,bank_integrations,account_id,accounts,id,bank_integrations_account_id_fkey
FK,bank_integrations,tenant_id,tenants,id,bank_integrations_tenant_id_fkey
FK,batches,product_id,products,id,batches_product_id_fkey
FK,batches,company_id,companies,id,batches_company_id_fkey
FK,billing_invoices,subscription_id,subscriptions,id,billing_invoices_subscription_id_fkey
FK,billing_invoices,tenant_id,tenants,id,billing_invoices_tenant_id_fkey
FK,billing_payments,tenant_id,tenants,id,billing_payments_tenant_id_fkey
FK,billing_payments,invoice_id,billing_invoices,id,billing_payments_invoice_id_fkey
FK,bin_locations,tenant_id,tenants,id,bin_locations_tenant_id_fkey
FK,bin_locations,warehouse_id,warehouses,id,bin_locations_warehouse_id_fkey
FK,bin_locations,company_id,companies,id,bin_locations_company_id_fkey
FK,branches,tenant_id,tenants,id,branches_tenant_id_fkey
FK,branches,company_id,companies,id,branches_company_id_fkey
FK,budget_alerts,budget_id,budgets,id,budget_alerts_budget_id_fkey
FK,budget_alerts,tenant_id,tenants,id,budget_alerts_tenant_id_fkey
FK,budget_alerts,budget_line_id,budget_lines,id,budget_alerts_budget_line_id_fkey
FK,budget_alerts,acknowledged_by,user_profiles,id,budget_alerts_acknowledged_by_fkey
FK,budget_lines,tenant_id,tenants,id,budget_lines_tenant_id_fkey
FK,budget_lines,budget_id,budgets,id,budget_lines_budget_id_fkey
FK,budget_lines,account_id,chart_of_accounts,id,budget_lines_account_id_fkey
FK,budget_lines,cost_center_id,cost_centers,id,budget_lines_cost_center_id_fkey
FK,budgets,approved_by,user_profiles,id,budgets_approved_by_fkey
FK,budgets,created_by,user_profiles,id,budgets_created_by_fkey
FK,budgets,cost_center_id,cost_centers,id,budgets_cost_center_id_fkey
FK,budgets,fiscal_year_id,fiscal_years,id,budgets_fiscal_year_id_fkey
FK,budgets,company_id,companies,id,budgets_company_id_fkey
FK,budgets,tenant_id,tenants,id,budgets_tenant_id_fkey
FK,call_analyses,call_id,call_logs,id,call_analyses_call_id_fkey
FK,call_logs,customer_id,customers,id,call_logs_customer_id_fkey
FK,call_logs,contact_id,contacts,id,call_logs_contact_id_fkey
FK,call_logs,tenant_id,tenants,id,call_logs_tenant_id_fkey
FK,cash_accounts,company_id,companies,id,cash_accounts_company_id_fkey
FK,cash_accounts,gl_account_id,chart_of_accounts,id,cash_accounts_gl_account_id_fkey
FK,cash_accounts,branch_id,branches,id,cash_accounts_branch_id_fkey
FK,cash_accounts,tenant_id,tenants,id,cash_accounts_tenant_id_fkey
FK,cash_transactions,journal_entry_id,journal_entries,id,cash_transactions_journal_entry_id_fkey
FK,cash_transactions,to_cash_account_id,cash_accounts,id,cash_transactions_to_cash_account_id_fkey
FK,cash_transactions,cash_account_id,cash_accounts,id,cash_transactions_cash_account_id_fkey
FK,cash_transactions,branch_id,branches,id,cash_transactions_branch_id_fkey
FK,cash_transactions,company_id,companies,id,cash_transactions_company_id_fkey
FK,cash_transactions,tenant_id,tenants,id,cash_transactions_tenant_id_fkey
FK,cash_transactions,contra_account_id,chart_of_accounts,id,cash_transactions_contra_account_id_fkey
FK,category_customer_access,tenant_id,tenants,id,category_customer_access_tenant_id_fkey
FK,category_customer_access,category_id,product_categories,id,category_customer_access_category_id_fkey
FK,category_customer_access,customer_group_id,customer_groups,id,category_customer_access_customer_group_id_fkey
FK,category_customer_access,customer_id,customers,id,category_customer_access_customer_id_fkey
FK,chart_of_accounts,parent_id,chart_of_accounts,id,chart_of_accounts_parent_id_fkey
FK,chart_of_accounts,account_type_id,account_types,id,chart_of_accounts_account_type_id_fkey
FK,chart_of_accounts,tenant_id,tenants,id,chart_of_accounts_tenant_id_fkey
FK,chart_of_accounts,company_id,companies,id,chart_of_accounts_company_id_fkey
FK,chart_templates,tenant_id,tenants,id,chart_templates_tenant_id_fkey
FK,coa_template_cash_accounts,template_id,coa_templates,id,coa_template_cash_accounts_template_id_fkey
FK,coa_template_items,template_id,coa_templates,id,coa_template_items_template_id_fkey
FK,commission_entries,rule_id,commission_rules,id,commission_entries_rule_id_fkey
FK,commission_entries,agent_id,agents,id,commission_entries_agent_id_fkey
FK,commission_entries,company_id,companies,id,commission_entries_company_id_fkey
FK,commission_entries,tenant_id,tenants,id,commission_entries_tenant_id_fkey
FK,commission_rules,tenant_id,tenants,id,commission_rules_tenant_id_fkey
FK,commission_rules,company_id,companies,id,commission_rules_company_id_fkey
FK,companies,tenant_id,tenants,id,fk_companies_tenant_id
FK,company_accounting_settings,default_revenue_account_id,chart_of_accounts,id,company_accounting_settings_default_revenue_account_id_fkey
FK,company_accounting_settings,default_receivable_account_id,chart_of_accounts,id,company_accounting_settings_default_receivable_account_id_fkey
FK,company_accounting_settings,default_payable_account_id,chart_of_accounts,id,company_accounting_settings_default_payable_account_id_fkey
FK,company_accounting_settings,default_cash_account_id,chart_of_accounts,id,company_accounting_settings_default_cash_account_id_fkey
FK,company_accounting_settings,company_id,companies,id,company_accounting_settings_company_id_fkey
FK,company_accounting_settings,default_expense_account_id,chart_of_accounts,id,company_accounting_settings_default_expense_account_id_fkey
FK,company_accounting_settings,default_bank_account_id,chart_of_accounts,id,company_accounting_settings_default_bank_account_id_fkey
FK,company_countries,country_code,countries,code,company_countries_country_code_fkey
FK,company_countries,company_id,companies,id,company_countries_company_id_fkey
FK,contact_interactions,call_log_id,call_logs,id,contact_interactions_call_log_id_fkey
FK,contact_interactions,performed_by,user_profiles,id,contact_interactions_performed_by_fkey
FK,contact_interactions,tenant_id,tenants,id,contact_interactions_tenant_id_fkey
FK,contact_interactions,contact_id,contacts,id,contact_interactions_contact_id_fkey
FK,contacts,created_by,user_profiles,id,contacts_created_by_fkey
FK,contacts,converted_customer_id,customers,id,contacts_converted_customer_id_fkey
FK,contacts,assigned_to,user_profiles,id,contacts_assigned_to_fkey
FK,contacts,company_id,companies,id,contacts_company_id_fkey
FK,contacts,tenant_id,tenants,id,contacts_tenant_id_fkey
FK,contacts,converted_by,user_profiles,id,contacts_converted_by_fkey
FK,container_cost_allocations,container_id,containers,id,container_cost_allocations_container_id_fkey
FK,container_cost_allocations,container_expense_id,container_expenses,id,container_cost_allocations_container_expense_id_fkey
FK,container_cost_allocations,container_item_id,container_items,id,container_cost_allocations_container_item_id_fkey
FK,container_expense_allocations,expense_id,container_expenses,id,container_expense_allocations_expense_id_fkey
FK,container_expense_allocations,item_id,container_items,id,container_expense_allocations_item_id_fkey
FK,container_expenses,container_id,containers,id,container_expenses_container_id_fkey
FK,container_items,product_id,products,id,container_items_product_id_fkey
FK,container_items,container_id,containers,id,container_items_container_id_fkey
FK,container_items,color_id,fabric_colors,id,container_items_color_id_fkey
FK,container_quotation_items,quotation_id,container_quotations,id,container_quotation_items_quotation_id_fkey
FK,container_quotations,container_id,containers,id,container_quotations_container_id_fkey
FK,container_reservations,container_id,containers,id,container_reservations_container_id_fkey
FK,container_reservations,container_item_id,container_items,id,container_reservations_container_item_id_fkey
FK,containers,company_id,companies,id,containers_company_id_fkey
FK,correspondents,account_id,accounts,id,correspondents_account_id_fkey
FK,correspondents,tenant_id,tenants,id,correspondents_tenant_id_fkey
