function_name,routine_type,return_type,language
generate_delivery_note_number,FUNCTION,character varying,PLPGSQL
generate_entry_number,FUNCTION,trigger,PLPGSQL
generate_order_number,FUNCTION,character varying,PLPGSQL
generate_payment_number,FUNCTION,character varying,PLPGSQL
generate_recurring_entries,FUNCTION,integer,PLPGSQL
generate_sequence_number,FUNCTION,text,PLPGSQL
get_account_balance,FUNCTION,numeric,PLPGSQL
get_account_by_code,FUNCTION,uuid,PLPGSQL
get_admin_statistics,FUNCTION,jsonb,PLPGSQL
get_allowed_tabs,FUNCTION,jsonb,PLPGSQL
get_available_categories_for_customer,FUNCTION,record,PLPGSQL
get_available_mfa_methods,FUNCTION,record,PLPGSQL
get_available_reports,FUNCTION,record,PLPGSQL
get_brand_tenant_ids,FUNCTION,ARRAY,PLPGSQL
get_budget_vs_actual_report,FUNCTION,record,PLPGSQL
get_cart,FUNCTION,record,PLPGSQL
get_cart_summary,FUNCTION,jsonb,PLPGSQL
get_company_accounting_settings,FUNCTION,jsonb,PLPGSQL
get_company_rounding_settings,FUNCTION,record,PLPGSQL
get_cost_center_expenses,FUNCTION,record,PLPGSQL
get_cost_centers_comparison,FUNCTION,record,PLPGSQL
get_current_brand_id,FUNCTION,uuid,PLPGSQL
get_current_tenant,FUNCTION,jsonb,PLPGSQL
get_current_tenant_id,FUNCTION,uuid,PLPGSQL
get_current_tenant_id_fallback,FUNCTION,uuid,SQL
get_current_user_product_code,FUNCTION,character varying,PLPGSQL
get_current_user_product_id,FUNCTION,uuid,PLPGSQL
get_current_user_tenant_id,FUNCTION,uuid,PLPGSQL
get_customer_id_from_auth,FUNCTION,uuid,PLPGSQL
get_customer_profile,FUNCTION,record,PLPGSQL
get_customer_special_products,FUNCTION,record,PLPGSQL
get_daily_stats,FUNCTION,json,PLPGSQL
get_employee_commission_report,FUNCTION,record,PLPGSQL
get_fiscal_year_mode,FUNCTION,character varying,PLPGSQL
get_fund_balances,FUNCTION,json,PLPGSQL
get_guest_orders,FUNCTION,record,PLPGSQL
