trigger_name,event,table_name,timing,action_statement
trg_brand_isolation_customers,INSERT,customers,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_customers,UPDATE,customers,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_update_timestamp_customers,UPDATE,customers,BEFORE,EXECUTE FUNCTION update_updated_at()
trg_delivery_notes_updated_at,UPDATE,delivery_notes,BEFORE,EXECUTE FUNCTION update_delivery_notes_timestamp()
trg_dar_updated,UPDATE,document_approval_requests,BEFORE,EXECUTE FUNCTION trg_set_updated_at()
trg_auto_company_fabric_rolls,INSERT,fabric_rolls,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_fabric_rolls,INSERT,fabric_rolls,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_fabric_rolls,INSERT,fabric_rolls,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_fabric_rolls,UPDATE,fabric_rolls,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_auto_company_fiscal_years,INSERT,fiscal_years,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_fiscal_years,INSERT,fiscal_years,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_fiscal_years,INSERT,fiscal_years,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_fiscal_years,UPDATE,fiscal_years,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trigger_set_tenant_funds,UPDATE,funds,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trigger_set_tenant_funds,INSERT,funds,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trg_gold_item_value,INSERT,gold_items,BEFORE,EXECUTE FUNCTION update_gold_item_value()
trg_gold_item_value,UPDATE,gold_items,BEFORE,EXECUTE FUNCTION update_gold_item_value()
trigger_set_tenant_gold_items,INSERT,gold_items,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trigger_set_tenant_gold_items,UPDATE,gold_items,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trigger_set_tenant_gold_prices,INSERT,gold_prices,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trigger_set_tenant_gold_prices,UPDATE,gold_prices,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trg_auto_company_inventory_movements,INSERT,inventory_movements,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_inventory_movements,INSERT,inventory_movements,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_inventory_movements,UPDATE,inventory_movements,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_inventory_movements,INSERT,inventory_movements,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_update_inventory_stock,INSERT,inventory_movements,BEFORE,EXECUTE FUNCTION update_inventory_stock()
ensure_journal_entry_balanced,UPDATE,journal_entries,BEFORE,EXECUTE FUNCTION check_journal_entry_balance()
set_default_currency_trigger,INSERT,journal_entries,BEFORE,EXECUTE FUNCTION set_default_currency_for_journal_entry()
set_entry_number,INSERT,journal_entries,BEFORE,EXECUTE FUNCTION generate_entry_number()
trg_audit_journal_entries,UPDATE,journal_entries,AFTER,EXECUTE FUNCTION auto_audit_log()
trg_audit_journal_entries,DELETE,journal_entries,AFTER,EXECUTE FUNCTION auto_audit_log()
trg_audit_journal_entries,INSERT,journal_entries,AFTER,EXECUTE FUNCTION auto_audit_log()
trg_auto_company_journal_entries,INSERT,journal_entries,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_journal_entries,INSERT,journal_entries,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_journal_entries,UPDATE,journal_entries,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_journal_entries,INSERT,journal_entries,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_journal_entries_n8n,UPDATE,journal_entries,AFTER,EXECUTE FUNCTION notify_n8n_webhook()
trg_journal_entries_n8n,INSERT,journal_entries,AFTER,EXECUTE FUNCTION notify_n8n_webhook()
trg_update_budget_from_journal,UPDATE,journal_entries,AFTER,EXECUTE FUNCTION update_budget_actuals_from_journal()
trg_update_timestamp_journal_entries,UPDATE,journal_entries,BEFORE,EXECUTE FUNCTION update_updated_at()
set_tenant_id_trigger,INSERT,journal_entry_lines,BEFORE,EXECUTE FUNCTION set_journal_entry_line_tenant_id()
